date_mesure,geocode_region,libelle_region,valeur
2011-01-01T00:00:00.000,01,Guadeloupe,404635
2016-01-01T00:00:00.000,11,Île-de-France,12117132
2022-01-01T00:00:00.000,24,Centre-Val de Loire,2581597
2009-01-01T00:00:00.000,11,Île-de-France,11728240
2008-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,2802519
2009-01-01T00:00:00.000,01,Guadeloupe,401554
2016-01-01T00:00:00.000,01,Guadeloupe,394110
2006-01-01T00:00:00.000,94,Corse,294118
2012-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,7694278
2011-01-01T00:00:00.000,02,Martinique,392291
2010-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,4899155
2017-01-01T00:00:00.000,03,Guyane,268700
2010-01-01T00:00:00.000,11,Île-de-France,11786234
2023-01-01T00:00:00.000,32,Hauts-de-France,5991855
2016-01-01T00:00:00.000,24,Centre-Val de Loire,2577866
2010-01-01T00:00:00.000,04,La Réunion,821136
2013-01-01T00:00:00.000,52,Pays de la Loire,3654790
2020-01-01T00:00:00.000,32,Hauts-de-France,5997400
2017-01-01T00:00:00.000,28,Normandie,3330478
2013-01-01T00:00:00.000,28,Normandie,3328364
2007-01-01T00:00:00.000,03,Guyane,213031
2018-01-01T00:00:00.000,75,Nouvelle-Aquitaine,5979778
2008-01-01T00:00:00.000,02,Martinique,397693
2017-01-01T00:00:00.000,44,Grand Est,5549586
2021-01-01T00:00:00.000,01,Guadeloupe,384315
2020-01-01T00:00:00.000,03,Guyane,285133
2014-01-01T00:00:00.000,94,Corse,324212
2015-01-01T00:00:00.000,75,Nouvelle-Aquitaine,5911482
2012-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,4935576
2025-01-01T00:00:00.000,28,Normandie,3345842
2009-01-01T00:00:00.000,04,La Réunion,816364
2019-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,8041995
2013-01-01T00:00:00.000,94,Corse,320208
2024-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,5218960
2024-01-01T00:00:00.000,52,Pays de la Loire,3900305
2024-01-01T00:00:00.000,02,Martinique,360630
2016-01-01T00:00:00.000,52,Pays de la Loire,3731319
2013-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,4953675
2018-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,2807807
2019-01-01T00:00:00.000,44,Grand Est,5556219
2024-01-01T00:00:00.000,44,Grand Est,5563378
2015-01-01T00:00:00.000,76,Occitanie,5774185
2014-01-01T00:00:00.000,32,Hauts-de-France,6005760
2015-01-01T00:00:00.000,01,Guadeloupe,397990
2021-01-01T00:00:00.000,44,Grand Est,5561287
2011-01-01T00:00:00.000,11,Île-de-France,11852851
2020-01-01T00:00:00.000,24,Centre-Val de Loire,2574863
2012-01-01T00:00:00.000,04,La Réunion,833944
2024-01-01T00:00:00.000,11,Île-de-France,12463067
2008-01-01T00:00:00.000,28,Normandie,3293092
2020-01-01T00:00:00.000,11,Île-de-France,12271794
2010-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,7577110
2013-01-01T00:00:00.000,76,Occitanie,5683878
2023-01-01T00:00:00.000,03,Guyane,293996
2010-01-01T00:00:00.000,01,Guadeloupe,403355
2010-01-01T00:00:00.000,75,Nouvelle-Aquitaine,5745486
2006-01-01T00:00:00.000,28,Normandie,3267848
2023-01-01T00:00:00.000,11,Île-de-France,12463067
2018-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,7993511
2015-01-01T00:00:00.000,02,Martinique,380877
2006-01-01T00:00:00.000,75,Nouvelle-Aquitaine,5574821
2024-01-01T00:00:00.000,04,La Réunion,889679
2018-01-01T00:00:00.000,32,Hauts-de-France,6003765
2017-01-01T00:00:00.000,53,Bretagne,3318904
2019-01-01T00:00:00.000,24,Centre-Val de Loire,2573180
2018-01-01T00:00:00.000,94,Corse,338554
2014-01-01T00:00:00.000,03,Guyane,252338
2009-01-01T00:00:00.000,44,Grand Est,5531175
2014-01-01T00:00:00.000,52,Pays de la Loire,3684654
2018-01-01T00:00:00.000,24,Centre-Val de Loire,2572853
2023-01-01T00:00:00.000,75,Nouvelle-Aquitaine,6150451
2023-01-01T00:00:00.000,01,Guadeloupe,384160
2008-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,7458124
2010-01-01T00:00:00.000,28,Normandie,3310448
2023-01-01T00:00:00.000,53,Bretagne,3449370
2012-01-01T00:00:00.000,53,Bretagne,3237097
